url_path,views_total,views_unique
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Practical%20example.ipynb,12,4
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Model%20Selection%20Challenge.ipynb,7,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Estimating%20Noise%20Level%20Challenge.ipynb,6,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Convergence%20of%20Monte%20Carlo%20Challenge.ipynb,4,1
/ascsn/2023-FRIB-TA-Summer-School,2,2
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Masses2016.txt,2,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Spectrum%20From%20Data.ipynb,2,1
/ascsn/2023-FRIB-TA-Summer-School/tree/main/practical-bayes,2,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/First%20code.ipynb,1,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Calibrating%20Liquid%20Drop%20Challenge.ipynb,1,1
