url_path,views_total,views_unique
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Practical%20example.ipynb,12,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Convergence%20of%20Monte%20Carlo%20Challenge.ipynb,8,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Estimating%20Noise%20Level%20Challenge.ipynb,4,1
/ascsn/2023-FRIB-TA-Summer-School/tree/main/practical-bayes,4,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/dimensionality-reduction/CAT%20focus%20challenge.ipynb,2,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Masses2016.txt,2,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Model%20Selection%20Challenge.ipynb,2,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/README.md,2,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/requirements.txt,2,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Spectrum%20From%20Data.ipynb,2,1
